Team 1,Team 2,Winner,Margin,Ground,Match Date,MatchID
United States of America,Canada,United States of America,7 wickets,Dallas,6/1/2024,T20I # 2632
West Indies,Papua New Guinea,West Indies,5 wickets,Providence,6/2/2024,T20I # 2633
Namibia,Oman,tied,-,Bridgetown,6/2/2024,T20I # 2634
South Africa,Sri Lanka,South Africa,6 wickets,New York,6/3/2024,T20I # 2635
Afghanistan,Uganda,Afghanistan,125 runs,Providence,6/3/2024,T20I # 2636
England,Scotland,no result,-,Bridgetown,6/4/2024,T20I # 2637
Nepal,Netherlands,Netherlands,6 wickets,Dallas,6/4/2024,T20I # 2638
India,Ireland,India,8 wickets,New York,6/5/2024,T20I # 2639
Papua New Guinea,Uganda,Uganda,3 wickets,Providence,6/5/2024,T20I # 2640
Australia,Oman,Australia,39 runs,Bridgetown,6/5/2024,T20I # 2641
United States of America,Pakistan,tied,-,Dallas,6/6/2024,T20I # 2642
Namibia,Scotland,Scotland,5 wickets,Bridgetown,6/6/2024,T20I # 2643
Canada,Ireland,Canada,12 runs,New York,6/7/2024,T20I # 2644
Afghanistan,New Zealand,Afghanistan,84 runs,Providence,6/7/2024,T20I # 2645
Bangladesh,Sri Lanka,Bangladesh,2 wickets,Dallas,6/7/2024,T20I # 2646
Netherlands,South Africa,South Africa,4 wickets,New York,6/8/2024,T20I # 2647
Australia,England,Australia,36 runs,Bridgetown,6/8/2024,T20I # 2648
West Indies,Uganda,West Indies,134 runs,Providence,6/8/2024,T20I # 2649
India,Pakistan,India,6 runs,New York,6/9/2024,T20I # 2658
Oman,Scotland,Scotland,7 wickets,North Sound,6/9/2024,T20I # 2659
Bangladesh,South Africa,South Africa,4 runs,New York,6/10/2024,T20I # 2664
Canada,Pakistan,Pakistan,7 wickets,New York,6/11/2024,T20I # 2665
Australia,Namibia,Australia,9 wickets,North Sound,6/11/2024,T20I # 2666
United States of America,India,India,7 wickets,New York,6/12/2024,T20I # 2671
West Indies,New Zealand,West Indies,13 runs,Tarouba,6/12/2024,T20I # 2672
Bangladesh,Netherlands,Bangladesh,25 runs,Kingstown,6/13/2024,T20I # 2677
England,Oman,England,8 wickets,North Sound,6/13/2024,T20I # 2678
Afghanistan,Papua New Guinea,Afghanistan,7 wickets,Tarouba,6/13/2024,T20I # 2679
Nepal,South Africa,South Africa,1 run,Kingstown,6/14/2024,T20I # 2681
New Zealand,Uganda,New Zealand,9 wickets,Tarouba,6/14/2024,T20I # 2682
England,Namibia,England,41 runs,North Sound,6/15/2024,T20I # 2688
Australia,Scotland,Australia,5 wickets,Gros Islet,6/15/2024,T20I # 2689
Ireland,Pakistan,Pakistan,3 wickets,Lauderhill,6/16/2024,T20I # 2697
Bangladesh,Nepal,Bangladesh,21 runs,Kingstown,6/16/2024,T20I # 2698
Netherlands,Sri Lanka,Sri Lanka,83 runs,Gros Islet,6/16/2024,T20I # 2699
New Zealand,Papua New Guinea,New Zealand,7 wickets,Tarouba,6/17/2024,T20I # 2702
West Indies,Afghanistan,West Indies,104 runs,Gros Islet,6/17/2024,T20I # 2703
South Africa,United States of America,South Africa,18 runs,North Sound,6/19/2024,T20I # 2708
West Indies,England,England,8 wickets,Gros Islet,6/19/2024,T20I # 2709
Afghanistan,India,India,47 runs,Bridgetown,6/20/2024,T20I # 2710
Australia,Bangladesh,Australia,28 runs,North Sound,6/20/2024,T20I # 2711
England,South Africa,South Africa,7 runs,Gros Islet,6/21/2024,T20I # 2712
West Indies,United States of America,West Indies,9 wickets,Bridgetown,6/21/2024,T20I # 2713
Bangladesh,India,India,50 runs,North Sound,6/22/2024,T20I # 2716
Afghanistan,Australia,Afghanistan,21 runs,Kingstown,6/22/2024,T20I # 2717
England,United States of America,England,10 wickets,Bridgetown,6/23/2024,T20I # 2719
West Indies,South Africa,South Africa,3 wickets,North Sound,6/23/2024,T20I # 2720
Australia,India,India,24 runs,Gros Islet,6/24/2024,T20I # 2721
Afghanistan,Bangladesh,Afghanistan,8 runs,Kingstown,6/24/2024,T20I # 2722
Afghanistan,South Africa,South Africa,9 wickets,Tarouba,6/26/2024,T20I # 2723
England,India,India,68 runs,Providence,6/27/2024,T20I # 2724
India,South Africa,India,7 runs,Bridgetown,6/29/2024,T20I # 2729
